Soil,Blue439,Green507,Red639,Sand (% wt.),Silt (% wt.),Clay (% wt.),Higroscopic Water (%),Fe (%),Fe dithionite (ppm),CaCO3 (%),EC (ds/m),Organic Carbon (%),Organic Matter (%),S.S.A (m2/g),Q/CM,Quartz,ClayMinerals,Smectite,Montmorillonite,Illite,Kaolinite,Calcite,Dolomite,other,Si02,Al2O3,Fe2O3,MgO,CaO,Na2O,K2O,TiO2,P2O5,LOI,F1,F2,F3,F4,F5,F6,AAS,SQCMI,SCI
S10,0.16317,0.226575,0.399853,66.7621,14.011,19.2268,2.2,0.387,3867.5,25.77,0.426,0.56,1.44,96.2,1.8125,58,16,3,3,6,4,26,0,3,55.2,6.08,2.92,1.76,15.6,0.61,1.06,0.76,0.1,15.8,6.4,5.6,15.4,13.3,24.6,34.8,0.4,1.017115041,1.00241003
S11,0.221661,0.294367,0.479628,64.1687,19.1441,16.6871,2.3,0.194,1937.6,41.79,0.607,0.36,1.03,69.7,1.607142857,45,14,3,3,8,0,42,0,2,48,3.34,1.66,1.11,23.9,0.25,0.61,0.41,0.07,20.8,7.1,6.1,15.4,13.6,43,14.7,0.44,1.021657249,0.995500602
S12,0.174477,0.239196,0.410818,74.4507,11.4461,14.1032,2.2,0.392,3924.5,21.94,0.571,0.89,1.93,78.6,3.8125,61,8,2,2,2,2,23,0,10,56.9,6.34,2.91,1.67,13.5,0.76,1.25,0.83,0.11,14.8,4.1,4.6,13.4,10.2,41.6,25.6,0.34,1.026869184,1.002613569
S13,0.187347,0.249629,0.408385,65.1151,20.642,14.243,3.1,0.37,3696.6,23.32,,0.75,1.77,104.6,3.444444444,62,9,2,2,3,2,23,5,3,53.2,6.82,3.35,1.96,15.2,0.81,1.35,0.83,0.18,16.2,4.3,5.3,15.8,10.9,40.3,23.4,0.37,1.020210298,1.001511063
S14,0.173328,0.244081,0.437039,61.2963,20.642,18.0617,3.1,0.423,4230.6,23.72,0.468,0.44,1.34,105.9,3.75,60,8,2,2,2,2,24,0,10,52.6,6.89,3.47,2.13,15.5,0.71,1.25,0.82,0.11,16.2,6.5,6.1,18.8,14.2,25.5,28.9,0.43,1.015340556,0.998900541
S15,0.11,0.157,0.303,59.5654,19.5382,20.8965,4.3,0.55,5500.9,13.07,0.476,0.55,1.87,123.6,1.75,63,18,6,6,3,3,13,2,10,59.8,8.42,4.25,2.02,9.5,0.78,1.48,0.101,0.14,12.5,8.8,8.7,21.4,12.3,25.3,23.6,0.51,1.011276927,1.004926108
S16,0.167834,0.240407,0.437043,25.2255,48.9077,25.8668,3.7,0.503,5026.8,20.87,0.51,0.36,1.38,94.4,0.785714286,55,35,2,20,3,10,20,5,5,53.5,7.41,3.88,2.46,13.9,0.86,1.32,0.96,0.13,14.9,5.3,6.7,20.7,14.2,35.4,17.8,0.45,1.019627024,1.003314825
S17,0.164767,0.233528,0.438183,61.3003,19.2982,19.4014,3.1,0.487,4873.8,26.65,0.57,0.62,1.74,138.8,2.636363636,58,11,2,2,3,4,27,3,3,52.3,6.85,3.41,1.89,15.9,0.68,1.28,0.9,0.11,16.8,6.2,7.3,17.7,9.5,34.3,25.1,0.43,1.020314393,1.002014806
S18,0.162769,0.230628,0.430101,46.6541,23.2801,30.0658,4.2,0.544,5435.1,25.74,0.491,0.51,1.5,178.3,1.527777778,55,18,6,6,2,4,26,2,5,49.2,8.04,4.12,2.45,15.4,0.68,0.139,0.83,0.15,17.5,5.7,7,25.6,15.2,36.2,13.3,0.5,1.010222176,1.000002408
S19,0.233287,0.318082,0.545618,47.9004,29.9052,22.1944,4,0.499,4994.3,36.61,2.2,0.77,1.86,140.7,1.958333333,47,12,2,2,3,5,40,3,0,35.4,5.97,3.09,2.09,26,0.44,0.96,0.59,2.27,23.2,6.7,8.1,25.5,21.4,31.3,7.1,0.54,1.011736139,0.997398557
S2,0.1,0.141,0.262,78.3076,7.6742,14.0182,2.3,0.338,3376.4,6.26,0.986,0.54,1.43,78.3,2.692307692,70,13,4,4,3,2,6,0,15,73.3,6.41,2.64,1.12,5.14,0.91,1.18,0.84,0.1,7.16,2.6,3.2,8.2,21.3,47.6,17.7,0.31,1.020536036,1.008066956
S3,0.127,0.181,0.339,4.0303,34.7361,61.2336,3,0.388,3882.1,10.57,0.798,0.5,1.4,102.5,0.625,75,60,0,55,3,2,11,2,7,65.8,7.47,3.01,1.62,8.16,0.95,1.3,0.82,0.14,10.6,5.4,5.9,12.9,8.6,48.7,18.3,0.38,1.017532966,1.004217714
S4,0.103,0.15,0.31,85.9399,3.8716,10.1885,1.9,0.233,2330.6,5.03,0.904,0.38,1,54.9,21.25,85,2,0,0,2,0,5,0,8,78.9,5.36,1.68,0.81,4.3,0.87,0.98,0.63,0.09,5.62,1.1,2.1,7.45,20.5,50.9,17.8,0.27,1.028675135,1.008477263
S6,0.131,0.188,0.364,71.6349,12.8932,15.4719,3,0.4,3997.5,11.55,0.548,0.53,1.43,93.4,7.7,77,5,0,0,2,3,12,2,4,66.5,7.12,2.99,1.54,8.03,0.88,1.34,0.72,0.11,10,4.8,5.3,12.4,9.4,48.2,19.7,0.36,1.023347876,1.005738609
S7,0.114,0.167,0.338,55.7706,29.8678,14.3615,3.7,0.379,3791.5,13.27,1.98,0.6,1.59,90.8,2.433333333,73,15,0,8,2,5,18,0,2,64.4,6.96,3.11,1.61,8.9,0.92,1.32,0.79,0.11,11,4.1,5.4,14.3,12,46.4,17.6,0.37,1.012845948,1.003817177
S8,0.13,0.185,0.349,57.3101,18.1328,24.557,3.5,0.461,4607.1,17,0.353,0.49,1.61,123.9,3.75,60,8,2,2,2,2,17,0,17,58.1,8.04,3.73,2.02,10.9,0.75,1.41,0.81,0.12,13.6,5,5.6,15.3,11.2,19.3,33.4,0.37,1.009331881,1.003514762
S9,0.141,0.2,0.365,82.1574,8.9723,8.8703,1.9,0.319,3194.4,18.01,0.79,0.52,1.35,63.3,6.083333333,73,6,2,2,0,2,18,0,5,64.3,5.64,2.36,1.26,11.9,0.71,1.12,0.71,0.09,11.6,2.8,3.4,9.8,10.7,48.1,25.1,0.29,1.022148326,1.006947941
W1,0.142,0.199,0.424,72.1744,15.1776,12.648,1.2,0.441,4413.8,16.06,1.478,0.36,0.87,81,2.916666667,70,12,0,0,2,10,16,0,2,64.2,4.31,1.69,0.69,14.4,0.14,0.87,0.29,3.63,9.47,4.3,3.2,14.7,34.2,31.9,11.6,0.41,1.030167634,1.011659738
