Soil,Blue439,Green507,Red639,Sand (% wt.),Silt (% wt.),Clay (% wt.),Higroscopic Water (%),Fe (%),Fe dithionite (ppm),CaCO3 (%),EC (ds/m),Organic Carbon (%),Organic Matter (%),S.S.A (m2/g),Q/CM,Quartz,ClayMinerals,Smectite,Montmorillonite,Illite,Kaolinite,Calcite,Dolomite,other,Si02,Al2O3,Fe2O3,MgO,CaO,Na2O,K2O,TiO2,P2O5,LOI,F1,F2,F3,F4,F5,F6,AAS,SQCMI,SCI
C10,0.249485,0.292696,0.38086,48.1435,29.8693,21.9871,3.8,0.169,1693.4,63.99,0.867,2.04,3.99,120.7,0.2,10,25,0,0,20,5,67,1,0,19,3.56,1.92,1.72,36.2,0.13,0.42,0.27,36.3,36.3,24.1,11,29.7,16.4,11.3,7.4,0.85,1.00766789,0.984552962
C11,0.129184,0.161996,0.269848,51.4808,18.2735,30.2457,4.8,0.635,6351.8,26.28,0.894,2.94,5.92,205.4,0.85,51,30,10,10,0,10,26,0,3,39.8,9.1,4.78,1.75,17.3,0.34,1.32,0.8,23.8,23.8,24.4,13.9,32.2,12.5,8.9,8.1,0.89,1.003417451,1.000802005
C12,0.158269,0.221237,0.392044,57.8657,22.9545,19.1798,2,0.197,1967.3,40.27,0.553,0.41,1.02,80,0.86,43,25,10,10,0,5,40,1,0,51.7,3.14,1.45,0.51,22.6,0.1,0.5,0.26,19.6,19.6,6.1,4.1,12.1,19.9,47.7,10.1,0.4,1.009624862,0.994461605
C2,0.114,0.157,0.294,60.1397,14.1771,25.6832,2.7,0.303,3034.6,24.21,0.646,0.6,1.49,108.5,1.5,60,20,10,10,0,0,24,0,6,61.5,4.54,2.13,0.66,14.7,0.15,0.76,0.43,14.8,14.8,5.5,4,11.8,19,50.4,9.3,0.39,1.035267945,0.999111846
C3,0.0704,0.092,0.159,55.4719,9.1983,35.3298,4.3,0.397,3972.6,11.75,0.609,0.73,1.91,184.2,0.458333333,55,60,30,30,0,0,12,0,3,67.2,6.38,3.33,1.01,7.8,0.24,0.83,0.64,11.5,11.5,5.9,4.5,15.6,13.6,43.4,7,0.4,1.032407017,1.002821641
C4,0.237535,0.292936,0.41051,26.1399,31.2564,42.6037,3.1,0.271,2711.6,68.17,0.644,1.33,2.67,120,0.283333333,17,30,15,15,0,0,68,0,0,17.2,4.01,2.08,0.81,39.1,0.08,0.26,0.3,34.8,34.8,10.7,8.2,31.8,24,19.8,5.6,0.64,1.015161098,1.009703831
C5,0.198452,0.238287,0.318942,84.7901,7.6049,7.6049,6.4,0.163,1627.5,47.55,1.351,5.38,10.7,195.2,0.52,26,25,15,0,5,5,48,1,0,25.3,4.5,2.38,1.93,28.2,0.07,0.43,0.24,36,36,19.6,10.2,32.4,17.4,14.3,6.1,0.79,1.014285063,0.988915867
C6,0.235789,0.281686,0.368101,58.7772,1.2782,39.9446,6.1,0.187,1865.4,46.81,0.631,5.33,4.24,194.7,0.233333333,28,60,25,25,10,0,47,1,0,25.3,4.5,2.37,1.93,28.1,0.06,0.44,0.25,35.5,35.5,16.4,9.3,35.5,20.9,13.2,4.7,0.76,1.005024671,0.995902881
C8,0.271686,0.316983,0.395901,7.0425,36.6799,56.2775,4.6,0.129,1285.4,59.77,1.151,2.23,4.95,208.7,0.081395349,7,43,15,15,10,3,60,1,10,21,5.84,2.54,1.88,32.8,0.1,0.25,0.25,34.8,34.8,23.6,12.9,36.1,13.6,9.3,4.5,0.9,1.005130269,0.99111798
C9,0.236073,0.277409,0.384334,54.8161,0,45.1839,5.9,0.288,2880.2,51.4,0.552,1.17,3.31,233.6,0.193877551,19,49,20,20,5,4,50,1,0,27.9,6.51,3.25,1.79,28.9,0.17,0.51,0.47,30.3,30.3,22.6,13.6,36.5,15.8,8.1,3.6,0.9,1.003718832,0.996301872
E1,0.057,0.0774,0.202,86.0281,0,13.9719,1.2,0.43,4302.4,1.83,0.338,0.59,0.47,48.5,2.833333333,85,15,5,5,0,5,2,3,0,88.5,3.01,1.3,0.21,1.47,0.12,0.43,0.44,0.05,3.77,2.9,2.1,5.4,23.1,62.3,4,0.3,1.045340273,1.026907672
E2,0.0596,0.0819,0.216,88.6181,2.5181,8.8638,0.7,0.315,3150.7,0,0.338,0.17,0.47,31.8,4.5,90,10,5,5,0,0,0,0,5,91.36,3.39,1.09,0.19,0.57,0.45,0.61,0.38,1.62,1.62,1.1,0.8,4.7,28.8,61.2,2.8,0.27,1.072448697,1.04123282
E3,0.0458,0.0603,0.213,70.5552,3.8851,25.5598,2.2,0.917,9169.6,0,1.1993,0.33,1,102.5,1.166666667,70,30,10,10,0,10,0,0,10,84.3,6.05,2.52,0.3,0.56,0.22,0.59,0.48,4.39,4.39,3.4,2,7,34.2,44.7,8.1,0.36,1.037796726,1.030718483
E4,0.0516,0.0691,0.18,80.8749,2.5432,16.5819,1.7,0.398,3983.2,0.7,0.571,0.7,1.37,66.6,1.904761905,80,21,7,7,0,7,1,0,5,88.4,3.58,1.6,0.26,0.91,0.16,0.46,0.55,3.77,3.77,2.7,2,9.8,35.1,43.1,6.6,0.35,1.032360506,1.027983539
E5,0.061,0.0838,0.192,60.9456,5.2072,33.8471,4,0.77,7697.6,0.28,1.819,0.12,0.93,165.1,0.004545455,1,110,25,25,0,60,0,10,0,79.3,7.01,3.99,0.45,0.75,0.19,0.55,0.85,5.62,5.62,9.8,6.3,19.1,39.7,20.5,4.2,0.57,1.017381575,1.034575569
E6,0.044567,0.058589,0.234368,79.6085,0,20.3915,1.9,0.507,5072.7,0.63,2.7,0.12,0.56,83.7,1.6,80,25,10,10,0,5,1,0,5,88.2,4.07,2.02,0.24,0.63,0.06,0.37,0.37,3.39,3.39,1.9,1.2,7.7,72.8,14.6,1.4,0.4,1.019424658,1.025051335
E7,0.0489,0.0638,0.252,74.3537,1.3283,24.318,2.1,0.797,7974.9,0,0.828,0.16,0.68,98.1,1.875,75,20,5,5,0,10,1,0,9,87.2,5.23,2.14,0.25,0.3,0.04,0.51,0.4,3.7,3.7,4,2.3,5.8,43.4,40.3,3.8,0.37,1.032840583,1.033064683
E8,0.0655,0.0951,0.37,88.6192,1.3093,10.0715,0.7,0.253,2528.3,0,0.22,0.03,0.14,29.4,1000,90,0,0,0,0,0,0,3,7,94.6,2.13,0.67,0.05,0.1,0.02,0.4,0.26,1.31,1.31,0.4,0.7,1.9,56.3,40.2,0.3,0.31,1.103329271,1.072508849
E9,0.13,0.201,0.447,93.6874,0,6.3126,0.2,0.079,791.1,3.21,0.1093,0.04,0.09,10.8,1000,94,0,0,0,0,0,3,0,3,90.1,2.65,0.39,0.19,2.43,0.59,0.61,0.12,1.85,1.85,0,0,0,31.1,68.6,0.2,0.23,1.387661427,1.242236025
EC1,0.0621,0.0888,0.182,89.9295,2.5176,7.5529,0.7,0.203,2027.3,5.53,0.538,1.07,1.78,22.7,7.5,90,6,2,2,0,2,6,0,0,86.7,1.66,0.58,0.15,3.99,0.11,0.32,0.17,5.77,5.77,0.9,0.7,2.9,64.6,28.7,2.2,0.34,1.101793149,1.057124849
EC2,0.190013,0.271305,0.50131,93.6804,0,6.3196,0.3,0.081,808.6,13.05,0.1277,0.04,0.1,10.9,1000,87,0,0,0,0,0,13,0,0,84.6,0.86,0.23,0.03,7.67,0.08,0.23,0.05,6,6,1.8,1.1,3.8,65.5,27.2,0.6,0.36,1.27908309,1.161489587
H1,0.08674,0.111164,0.175407,44.6203,19.8312,35.5485,5.2,0.472,4721,8.42,0.733,0.93,2.78,234.4,0.2125,34,80,35,35,0,10,9,2,0,6.31,8.5,4.44,1.47,6.89,0.41,0.86,1.02,12.6,12.6,16.3,11,26.6,16.6,17.8,11.3,0.71,1.019611048,1.011738525
H10,0.179235,0.244008,0.426161,39.4544,21.1962,39.3494,2.8,0.525,5254.3,48.65,3.49,0.59,1.75,98.2,0.209090909,23,55,10,25,10,10,49,1,0,29.8,5.21,2.82,2.09,30,0.27,0.78,0.61,27.2,27.2,13.7,9.2,2.5,15.9,24.9,11.5,0.47,1.011429149,0.987318428
H11,0.131464,0.188045,0.382491,57.6149,23.0911,19.2939,2.6,0.552,5523,52.15,2.31,0.56,1.33,97.7,1.2,36,15,5,5,0,5,52,2,0,29.7,2.22,2.84,2.1,30.1,0.26,0.77,0.61,27.5,27.5,3.9,6.1,18.5,16,38.9,16.6,0.41,1.017089886,0.993591643
H12,0.0959,0.142,0.301,59.8298,22.0054,18.1648,8,0.503,5025.8,30.88,88.1,1.36,3.9,149,0.255319149,24,47,20,2,15,10,31,0,0,35.3,6.33,3.32,3.77,21.1,0.8,0.55,0.62,28.1,28.1,4.8,5.3,33.7,39.3,15.9,0.9,0.57,1.006855838,0.996797465
H13,0.173956,0.18332,0.233955,40.7424,12.4463,46.8113,9.2,0.878,8782,13.72,0.864,1.2,3.22,303.5,0.273333333,41,75,30,30,10,5,14,0,0,51,10.5,5.73,1.88,9.1,0.38,1.24,1.07,17.7,17.7,13.8,13.5,33.9,19.1,12.2,4.4,0.74,0.998483529,1.012153129
H14,0.0929,0.116,0.183,24.9333,16.6815,58.3852,10.1,0.601,6006.5,27.97,1.252,1.22,3.12,281.3,0.227272727,25,55,10,10,25,10,28,0,2,38.4,9.36,5.31,4.11,16.3,0.26,1.12,0.82,24.2,24.2,10.8,12.3,33.6,19.5,14.4,9.3,0.68,0.990209585,1.001804421
H2,0.1007,0.115,0.145,70.294,14.2341,15.4719,10.2,0.388,3876,18.5,0.67,1.85,5.34,425.3,0.029850746,4,67,55,0,2,10,19,2,8,41.1,12.3,6.66,2.75,11.2,0.21,1.05,0.85,23.4,23.4,23.6,13.5,32.3,15.7,10.2,4.1,0.88,0.976862245,1.008472867
H3,0.0444,0.0641,0.138,41.0085,17.7963,41.1952,9,0.841,8406.1,12.68,1.504,1.3,3.73,286.9,0.273333333,41,75,35,35,0,5,13,6,0,52.9,10.5,4.59,1.82,9.33,0.51,1.28,1.1,16.6,16.6,13.6,16.9,32.4,15.9,10.9,9.9,0.76,0.999862987,1.008275487
H4,0.099,0.125,0.194,39.0696,29.1406,31.7898,5.6,0.536,5361.3,34.21,0.674,1.5,3.78,239.3,0.25,30,60,30,30,0,0,34,4,1,40.2,7.51,4.01,1.46,20.3,0.29,0.73,0.78,24,24,15.4,10.7,29.4,17.2,14.7,12.6,0.71,1.013384492,1.001204777
H5,0.0789,0.108,0.23,39.5373,14.511,45.9516,4.9,0.84,8395.2,26.83,0.48,0.6,2.37,231.5,0.363636364,40,55,25,25,2,3,27,0,3,42.2,10,5.47,2.53,16.2,0.44,1.4,0.91,20.8,20.8,11,15.1,19.4,32.4,10.3,11.7,0.66,1.000655196,1.004925613
H6,0.0811,0.107,0.221,14.8729,27.0416,58.0855,7.6,0.979,9792,20.24,4.32,0.35,2.01,303.6,0.081521739,15,92,40,40,2,10,20,0,13,44.9,11.6,6.5,2.78,11.7,0.68,1.48,1.1,18.5,18.5,21.6,14.8,35.6,14.4,8.3,5.3,0.88,0.997807822,1.004522159
H7,0.0656,0.0882,0.199,10.1894,24.4938,65.3168,8.1,1.148,11480.7,13.15,3.05,0.33,2.31,329.2,0.043478261,10,115,50,50,0,15,14,5,6,47.5,12.8,7.2,2.8,8.53,0.7,1.43,1.25,16.9,16.9,22,16,31.2,14.9,9.1,5.9,0.87,0.985955719,1.00755896
H8,0.082,0.121,0.3,43.8061,27.4702,28.7236,4.3,1.189,11890.5,23,19.7,0.73,2.26,172.6,0.716666667,43,30,5,5,10,10,23,3,6,42.9,9.47,5.1,4.05,14.4,0.46,1.54,0.92,20.3,20.3,4.5,4.9,17.1,16.2,32.9,14.8,0.39,1.009303514,1.001007235
H9,0.137109,0.191415,0.378081,41.6347,36.0649,22.3005,6.3,0.71,7103.1,26.43,5.44,0.56,1.69,179,0.7,42,30,5,5,5,15,26,7,0,36.9,8.13,4.27,3.41,19.7,0.33,1.52,0.72,20.7,20.7,8.8,8.7,25.8,17.1,18.7,20.7,0.55,1.010299626,0.998898876
J1,0.116,0.156,0.287,24.6726,24.6842,50.6432,13.7,0.678,6777,38.95,2.24,1.14,2.42,189.4,0.217391304,20,46,5,5,34,2,35,2,1,30.2,8.09,4.13,3.7,24.3,0.24,1.25,0.56,27.1,2701,12.8,10.9,40.7,26.3,9,0.3,0.77,1.002310974,0.99849982
J2,0.066041,0.077867,0.122964,16.953,40.0916,42.9553,12.7,1.434,14342.2,14.61,1.625,2.07,4.53,348.8,0.095238095,20,105,45,45,5,10,15,0,5,46.1,11.7,6.87,2.05,9.73,0.26,1.38,1.22,20.5,20.5,7,9,31.9,22.1,19,10.4,0.59,0.989284907,1.010106114
J3,0.16195,0.214681,0.340335,54.588,23.3815,22.0306,3.8,0.354,3535.9,33.34,0.704,1.14,2.35,116.9,0.74,37,25,5,5,5,10,33,0,10,43.2,6.36,3.11,2.09,19.9,0.51,1.09,0.71,22.4,22.4,9.6,7.9,22.9,17.3,21.4,20.9,0.54,1.009829958,0.999100842
K1,0.229669,0.306992,0.480986,34.7448,61.1292,4.126,7.9,0.185,1846.1,42.77,37.7,1.33,2.71,194.7,0.3,18,30,0,0,0,30,40,12,0,20.3,3.96,2.35,5.29,28.5,0.3,0.39,0.34,0.26,30,2.5,4.7,11.3,15.5,51,15,0.33,1.017171785,1.004586907
K2,0.258167,0.332226,0.498312,22.175,38.9125,38.9125,3.6,0.279,2792.5,58.97,4.8,1.27,2.87,116.2,1000,15,0,0,0,0,0,59,1,25,21.1,3.8,2.07,2.81,35.3,0.14,0.52,0.26,0.53,33.3,12.5,10.1,29.3,19.8,17.7,10.6,0.66,1.004422758,0.984146414
K3,0.139774,0.170309,0.238843,34.7897,34.018,31.1923,8,0.056,556.9,59.32,7.97,1.58,3.23,154.2,0.5,15,15,0,0,15,0,59,1,10,21.3,3.56,1.96,4.16,33.3,0.19,0.43,0.28,0.48,34.4,5.1,6,19.9,21.5,27.2,20.3,0.44,1.001103041,0.99529956
K4,0.136485,0.171484,0.245417,30.8093,33.2116,35.9792,9.7,0.086,855.4,64.54,30,1.46,3.46,128.2,0.333333333,10,15,0,0,15,0,65,1,9,17,3.46,1.84,2.9,36.6,0.18,0.22,0.27,0.23,37.5,6.4,7.6,25.1,22.6,34.1,4.2,0.53,1.005944584,0.99002211
